评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/6337337511,甘草颗粒,男,上海,918,637,130,中国疫苗是国际社会应对新冠病毒的有效物资，为建设人类社会命运共同体，我认为，中国政府会答应捷克政府的要求。,0,2021-03-04 21:52
https://weibo.cn//u/7130116040,古今中外前后左右,男,湖南,10173,1849,200,送吧！反正不会尊重民意,0,2021-03-04 21:52
https://weibo.cn//u/7538093216,未来的兔子007,女,江苏,138,313,15,某些大使馆真是舔狗，人家求就答应吗，这帮白人就是唱红白脸,0,2021-03-04 21:52
https://weibo.cn//u/2683247261,开车也排队,男,河南,315,739,94,这个事吧药也不是不给，但是我们的大使必须要求捷克人民发扬民主精神评议以下牠们哪议长和市长的做法算不算民主，我们再根据我们的利益要求哪俩货负荆请罪的态度确定是不是放药，可以明确的说这是和美国学的……,0,2021-03-04 21:35
https://weibo.cn//u/2683247261,开车也排队,男,河南,315,739,94,回复@沙亮S:这……人家还觉得自己聪明呢！玩的高……就是这个目的,0,2021-03-04 21:28
https://weibo.cn//u/2683247261,开车也排队,男,河南,315,739,94,捷克这类国家非常聪明，安全靠美国经济傍中国，两边得力，这样就需要有两派人分别扮演矛盾的角色，几十年来这个游戏人家为嘛玩的乐此不疲？我们该不该反思？？？,0,2021-03-04 21:26
https://weibo.cn//u/5881780697,士兵199911,男,安徽,4,49,3,捷克绝对不能给，这国政府太坏了。,0,2021-03-04 21:23
https://weibo.cn//u/5274096846,橱窗小白,女,云南,707,272,93,不要脸,0,2021-03-04 21:22
https://weibo.cn//hellofake,old丶唐,男,山西,674,211,183,人面不知何处去,0,2021-03-04 21:04
https://weibo.cn//u/2188433977,Gowolfy,男,其他,6205,729,588,要疫苗？要脸吗？,0,2021-03-04 20:56
https://weibo.cn//u/6330295121,清河念无,男,北京,6,587,97,回复@冷静燕子李三:好家伙,0,2021-03-04 20:39
https://weibo.cn//u/7567015423,空山听雨2021,男,海南,0,8,1,找湾湾，湾湾南波湾,0,2021-03-04 20:32
https://weibo.cn//u/5887908728,微寻百年,男,广东,6741,214,50815,台湾🍍效果更佳,0,2021-03-04 20:27
https://weibo.cn//u/1224382021,言不由西,女,北京,2066,55,67,其他国家都是得到疫苗上热搜，这种申请阶段上热搜是想道德绑架？,0,2021-03-04 20:22
https://weibo.cn//u/5849109565,燕舞007,男,上海,300,88,178,疫苗当然是国内民众优先、捷克一边凉快去,0,2021-03-04 20:15
https://weibo.cn//sweeta,一直快乐的球球,女,上海,1041,307,496,回复@kikyoLEO1:多谢科普，震惊，没想到捷克还能有存在感,0,2021-03-04 20:14
https://weibo.cn//zgdg505,诸葛递葛,男,广东,247,119,7,回复@窗关不住旧忆:捷克总统是牌位，没有实权的。国外的咱们大多数人不了解，举个咱中国的例子吧——中国台湾的蔡省长是有实权的，但民进党籍的蔡省长管得了台北市长柯文哲（民众党籍）和高雄前市长韩国瑜（国民党籍）吗？蔡省长管得了国民党籍和民众党籍的省人大代表吗？,1,2021-03-04 19:59
https://weibo.cn//u/1873250184,布布为瀛,女,江苏,650,76,94,我咋记得之前说我们来着，唉？说的啥,0,2021-03-04 19:55
https://weibo.cn//u/7023460383,岁月静好lsm,女,上海,30,19,9,这样的国家反复无常，不是咱的伙伴,0,2021-03-04 19:52
https://weibo.cn//u/2257493582,king_55,男,浙江,2439,294,665,向蔡伪当局要啊,0,2021-03-04 19:45
https://weibo.cn//u/2273788251,Minovember,女,河南,1389,733,293,回复@小学篱笆旁的蒲公英l:咋说呢,0,2021-03-04 19:42
https://weibo.cn//MrKulang,枯狼先生,男,北京,616,140,85,泽曼总统对华友好，是官方认定的“中国人民的老朋友”。但，捷克总统权力有限，泽曼总统跟总理还不是一个政党的，所以根本压不住场子。对于捷克这种一边干着反华的勾当，一边又借着泽曼总统的面子向中国请求疫苗的“骚操作”，别搭理就是！当然，向老朋友泽曼总统一家提供十支八支的，我没意见！,0,2021-03-04 19:41
https://weibo.cn//u/5869482572,妖精的直发,女,江西,450,122,45,回复@地狱之伞兵:真杠啊！,0,2021-03-04 19:41
https://weibo.cn//u/2519158284,乐乐小爸爸,男,江苏,65,177,39,有多远滚多远,0,2021-03-04 19:40
https://weibo.cn//u/6500469577,华Loveandy521,男,其他,159,519,70,我们自己都没打呢,0,2021-03-04 19:39
https://weibo.cn//cavensnake,CavenSnake,男,上海,97,99,100,买可以 别忘了给个“优惠”的价格,0,2021-03-04 19:37
https://weibo.cn//u/2273788251,Minovember,女,河南,1389,733,293,回复@土匪日常手记:哈哈哈哈哈哈今天下午已经在宿舍群里吐槽过了,0,2021-03-04 19:37
https://weibo.cn//li0bin,背起阳光流浪,男,山东,2994,82,145,你反华还想要饭？咋想的？,0,2021-03-04 19:25
https://weibo.cn//u/7404072907,一烟v,男,其他,3,15,1,辉瑞那么大的企业老美医疗多发达，去辉瑞买吧,0,2021-03-04 19:19
https://weibo.cn//u/1795347881,長河語詞,男,北京,99,7,38,同意，可以提供疫苗。请中国台湾省行政负责人具体落实。,1,2021-03-04 19:18
https://weibo.cn//u/6698513069,巴巴祖的爷爷,女,上海,11,25,10,回复@阳光海浪和鱼:,0,2021-03-04 19:16
